Age,EstimatedSalary,Purchased
44,33919,0
50,41566,0
58,56062,0
33,71226,0
39,50678,0
19,56159,0
37,48831,0
28,52733,0
45,119804,0
45,62929,0
54,105451,1
44,20814,0
53,22396,0
38,38449,0
24,80535,0
39,73394,0
60,44160,0
25,44262,0
50,91315,0
22,23797,0
34,59915,0
30,95039,0
19,40128,0
40,58243,0
65,39063,0
54,47788,0
34,42534,0
56,52154,0
45,23756,0
23,56220,0
30,39426,0
37,20235,0
31,39623,0
44,102870,1
22,26783,0
56,75554,1
20,100559,0
56,56455,0
20,47306,0
34,71860,1
62,53130,0
37,127309,1
41,27906,0
45,84772,0
33,21342,0
40,143654,1
33,145501,0
52,31246,0
35,28007,0
22,82552,0
29,22219,0
25,61157,0
38,40806,0
32,61874,0
52,29446,0
37,24263,0
20,42890,0
22,24494,0
20,74620,0
47,69688,0
30,76638,0
22,51653,0
22,126937,0
45,101182,0
20,129575,0
18,45053,0
48,119785,0
23,76276,0
34,87728,0
31,71356,0
45,33350,0
57,109563,0
40,133374,0
30,52413,0
36,48145,0
61,95993,1
31,141392,1
29,47345,0
56,64813,0
33,106123,0
35,138195,0
19,75761,0
35,56258,0
30,141789,0
38,98945,0
18,98411,0
49,129945,1
41,37368,0
53,40618,0
25,99273,0
27,22469,0
18,71571,0
34,31485,0
34,44578,0
58,44917,0
50,82483,0
18,89669,0
24,87675,0
27,46685,0
47,46172,0
25,63642,0
32,65539,0
64,38787,0
43,39029,0
43,83888,0
43,61755,0
18,20806,0
56,31122,0
22,58197,0
59,40079,0
23,27287,0
25,112124,0
53,86081,0
50,44442,0
18,20126,0
43,55367,0
32,81665,0
39,50561,0
40,60042,0
47,66197,1
18,117720,0
48,33281,0
41,49257,0
19,81120,0
24,21750,0
40,84644,0
61,28705,0
38,99767,0
19,53660,0
35,39816,0
46,49192,0
52,22983,0
30,55111,0
23,67523,0
47,27491,0
51,66600,1
45,94038,0
19,83230,0
48,65186,0
44,49402,0
42,88344,0
57,117416,1
62,104458,0
61,127099,1
22,48865,0
51,59952,0
24,93340,1
42,37850,0
25,138865,0
45,57265,0
20,112374,0
22,126667,0
23,75176,0
58,20060,0
26,90507,0
22,81413,0
34,146413,0
20,30789,0
21,103807,0
18,122516,0
29,23972,0
30,95758,0
41,102985,0
33,56244,0
50,44574,0
52,95186,1
33,72853,0
54,60806,0
27,30616,0
42,40581,0
56,46614,0
25,121834,0
27,63001,0
26,59986,0
41,51821,0
62,49486,0
19,76373,0
18,104082,0
27,117432,0
39,45559,0
40,85082,0
24,31302,0
49,75106,0
19,69840,0
65,42116,0
30,87957,0
35,32984,0
52,122547,1
28,54701,0
52,65558,1
40,44519,0
32,49287,0
29,54008,0
35,62534,0
50,101974,1
56,43236,0
46,65587,0
43,107410,0
26,75337,0
22,69481,0
18,134524,0
29,105469,0
26,146457,0
64,65648,0
48,55400,0
61,39216,0
51,54636,0
53,74912,0
63,22717,0
22,38381,0
30,103441,0
23,72487,0
47,81268,0
19,47632,0
62,54832,0
24,93509,0
45,70106,0
43,77492,0
58,60998,0
51,70948,0
38,108929,0
35,78762,0
41,91520,0
47,53536,0
