Age,EstimatedSalary,Purchased
46,98623,1
42,88344,0
26,22336,0
31,43752,0
25,74771,0
26,90855,1
39,113501,1
61,131281,1
55,101412,1
29,76979,1
51,138533,1
51,67057,1
27,73002,0
24,21750,0
24,113070,1
47,59666,0
36,139719,0
27,132855,1
42,37850,0
38,60600,0
36,147015,0
40,75180,1
25,141008,1
59,89626,1
52,58890,1
38,105680,1
19,40128,0
39,91324,0
63,22717,0
18,122516,0
45,61786,0
47,90981,0
26,135033,1
26,87506,1
27,91431,0
22,69481,0
50,91315,0
19,69840,0
22,132590,0
54,47788,0
46,71184,1
35,43510,0
37,102197,1
20,31664,0
23,135953,1
31,126288,0
63,149839,1
32,91907,0
42,37602,1
45,40609,0
39,67362,0
52,66828,0
19,32219,0
48,33281,0
64,38787,0
54,113065,1
43,86672,1
43,146678,1
41,65765,0
50,59974,1
44,29903,0
55,64327,1
39,59809,1
62,54832,0
47,53572,0
23,95418,0
42,148177,1
23,33718,0
54,136682,1
28,96242,0
40,96218,1
46,80774,0
48,130022,1
21,85160,0
45,94038,0
64,103300,1
61,95993,1
20,45931,0
39,45559,0
33,71226,0
26,107272,0
37,48831,0
53,74912,0
41,49257,0
49,149038,1
40,85082,0
47,66197,1
54,135512,1
61,29077,0
65,77775,1
56,56455,0
41,88904,1
31,76846,0
28,39096,0
25,138865,0
54,70460,1
51,75619,1
45,33350,0
57,126506,1
62,94910,1
50,116646,1
61,28567,0
21,63872,0
29,106925,1
57,111659,1
19,57219,1
37,114934,0
33,37674,0
55,100688,1
40,130911,1
55,34199,0
20,137512,1
49,68285,0
43,44070,1
35,138195,0
33,72853,0
39,53933,0
47,67304,0
57,125423,1
19,78606,0
52,148322,1
59,119929,1
60,77134,0
46,135654,1
39,73394,0
49,136553,1
51,74842,1
42,90342,0
18,104082,0
27,43150,0
34,132863,1
40,58243,0
30,52265,0
59,79201,1
30,36371,0
42,98249,1
35,139123,1
45,119804,0
23,72487,0
20,22573,0
55,106444,1
56,129701,1
54,107487,1
49,108801,1
40,114006,1
32,123677,1
39,32987,0
49,145885,1
46,148496,1
65,131255,1
65,30395,0
63,126660,1
41,116809,1
30,34153,0
56,111751,1
36,98757,0
37,83374,1
59,40079,0
21,125865,1
54,94691,1
20,132992,1
19,53660,0
43,135005,1
52,79379,0
39,47935,0
31,141300,1
48,68280,0
34,144988,1
62,125373,1
35,71756,0
49,129945,1
62,126896,1
52,46292,1
52,132573,1
56,75554,1
45,89274,0
59,78053,1
31,114661,1
48,55400,0
56,121358,1
57,81246,1
41,143489,1
65,146161,1
32,50448,0
45,131496,1
49,148377,1
58,112263,1
18,64547,1
65,42116,0
58,41754,1
52,56408,1
61,109613,1
39,50678,0
28,92595,1
40,130177,1
33,56244,0
25,44262,0
38,116443,1
50,44442,0
56,64813,0
40,143654,1
40,148748,1
25,122650,0
38,72603,0
42,60738,0
43,22050,0
19,75761,0
36,138681,0
37,90835,0
44,134684,1
60,44160,0
34,146413,0
51,148232,1
44,137424,1
22,37685,0
63,75168,1
45,101182,0
24,49711,0
19,132831,1
34,69138,0
24,87675,0
55,31344,1
44,114377,1
31,102856,1
48,39541,0
33,43874,0
65,41792,1
50,92545,1
30,55111,0
47,84754,0
64,34060,0
36,73173,0
49,114223,1
46,91895,1
46,148575,1
61,39216,0
58,109599,1
45,23756,0
20,100559,0
25,39129,0
49,66542,1
25,63642,0
25,112124,0
27,30616,0
42,31954,0
49,51987,1
37,121376,1
28,52733,0
65,21524,0
48,26640,0
22,48529,0
41,114613,1
53,22396,0
34,59915,0
41,51821,0
47,61844,0
37,32175,0
54,117419,1
21,143867,1
61,127099,1
25,147534,1
27,63001,0
21,32182,0
30,74302,0
35,21341,0
18,23430,0
53,144130,1
63,147293,1
36,117241,1
41,91520,0
19,47376,0
23,82187,0
37,125921,1
45,37327,0
41,81396,1
43,116573,1
33,21342,0
18,146295,1
65,122979,1
58,35328,0
31,71356,0
61,136748,1
64,105956,1
39,54560,0
27,77384,1
31,127434,1
19,76373,0
53,57148,1
60,33859,0
62,141826,1
42,107127,1
22,126667,0
22,21622,0
43,64028,0
19,56159,0
45,75029,1
61,102310,1
44,25408,0
48,111357,1
57,109563,0
60,79720,0
65,147650,1
59,146523,1
47,92750,0
41,125292,0
62,49486,0
26,117829,1
51,59952,0
43,51480,0
23,32999,0
20,142744,1
19,47632,0
18,134524,0
24,87444,1
26,23020,0
22,48865,0
30,52413,0
37,127309,1
30,81916,0
52,123892,1
55,94859,1
57,117416,1
52,93972,1
39,55954,0
57,110093,1
43,40953,0
51,66600,1
45,70106,0
18,77761,0
29,76942,0
30,60631,0
52,109399,1
22,53039,0
33,147157,1
29,100765,1
22,126937,0
59,62874,1
38,65028,1
25,54016,1
29,32112,0
43,93506,0
46,65587,0
35,62534,0
21,103807,0
41,134130,0
57,20077,1
54,105451,1
64,128872,1
18,20806,0
37,24263,0
23,105514,0
42,87642,0
48,101244,1
46,95046,1
36,139771,1
45,112108,1
54,35850,0
47,139614,1
62,144343,1
53,120158,1
57,52254,1
20,112374,0
56,145995,1
46,99111,1
54,131530,1
19,146108,1
28,54701,0
62,93609,1
36,114457,1
41,38297,0
53,117425,1
45,33507,0
19,126296,0
41,27906,0
43,57430,1
30,141789,0
43,126532,1
40,87298,1
64,98187,1
44,20814,0
51,54636,0
33,143372,1
63,75961,1
53,115402,1
29,116523,1
34,93698,1
47,136739,1
49,133811,1
46,49192,0
44,44951,0
56,77545,0
55,85545,1
25,146092,1
56,71920,1
53,84435,0
58,147738,1
23,147335,1
54,96077,1
65,105595,1
28,129049,1
39,80500,1
53,46657,0
61,58565,1
36,87364,0
50,82823,1
58,56062,0
18,45053,0
18,71571,0
43,90831,1
18,107062,0
64,132599,1
43,104056,1
33,57599,0
51,109106,1
18,20126,0
33,122337,1
40,44519,0
29,110327,1
47,79383,1
25,99273,0
27,141101,1
52,31246,0
65,141178,1
22,84772,0
30,136243,1
41,29184,0
